"","Hidden1","Hidden2","Hidden3","MSE_10ep","MSE_100ep","MSE_1000ep","MSE_10000ep"
"70",200,20,10,1.01079016124601,0.833715980905977,0.963003887651942,0.541395732543193
"71",5,40,10,0.811440287277042,0.860628106334043,0.860345429803316,0.849685080117044
"72",10,40,10,0.802574893632534,0.827767026323664,0.833149346577146,0.890391743429413
"73",20,40,10,0.809042202894918,0.82697603092032,0.830691927983208,0.85681747343034
"74",40,40,10,0.798952811744598,0.858697200417829,0.489793275299745,0.920536805440424
"75",80,40,10,0.804470069358049,0.909157490220738,0.844289297109154,0.8949580387566
"76",100,40,10,0.800366418837521,0.721112597194985,0.820982691149025,0.877503856993502
"77",200,40,10,0.882462748309663,0.778953022078093,1.1109448762759,0.983305064269686
"78",5,80,10,0.848286468688083,0.817710930122391,0.834696925438856,0.837437588593693
"79",10,80,10,0.891207682249077,0.767484655274634,1.09144687342841,0.889302870698992
"80",20,80,10,0.800173805031649,0.775163818378655,0.856996682789463,0.840512798422448
"81",40,80,10,0.803881792627195,0.879039890279339,0.890747623008847,1.13239944467838
"82",80,80,10,0.832630380957872,0.753930629979457,1.00681514621631,0.0393763508415716
"83",100,80,10,0.834075167350331,0.878196300011766,1.12780523888024,0.363979917422102
"84",200,80,10,0.863460143666836,0.757404585377409,1.03648007557681,0.0599185452934289
"85",5,100,10,0.825747768921325,0.882748765224195,0.834258724088676,0.884586114448938
"86",10,100,10,0.842954532947641,0.849974245438192,0.943606434578634,1.12052961201826
"87",20,100,10,0.795736225149052,0.940900097208978,0.852844572685473,0.915012995414821
"88",40,100,10,0.797383687031572,0.945617805040842,0.822896444230943,0.206214694049833
"89",80,100,10,0.824217579153202,0.949684415200556,0.551038780102373,0.956939707129441
"90",100,100,10,0.854099370476143,0.780191776591465,0.311212949343667,0.142890023646577
"91",200,100,10,0.852276870099578,0.866729045584342,0.311336518950559,0.924913859327927
"92",5,200,10,0.869886304097699,0.814926372213334,0.855547206717393,0.848514888998527
"93",10,200,10,1.05265648102772,0.930386051653257,0.928564142339277,0.916854931268689
"94",20,200,10,1.37754237310553,0.952421705477461,0.481735245571769,0.211618350832427
"95",40,200,10,0.837359280169791,0.855874721920942,0.891044072284234,0.957455562181664
"96",80,200,10,0.823324851997783,0.862705303833407,0.481163125509313,0.938640463041802
"97",100,200,10,0.891007526935057,0.743587850286218,0.473036934237187,0.383662246869494
"98",200,200,10,0.891434906884689,1.03098034862998,0.421237848145788,0.956211834765327
"99",5,5,20,NA,NA,NA,NA
"100",10,5,20,NA,NA,NA,NA
"101",20,5,20,NA,NA,NA,NA
"102",40,5,20,NA,NA,NA,NA
"103",80,5,20,NA,NA,NA,NA
"104",100,5,20,NA,NA,NA,NA
"105",200,5,20,NA,NA,NA,NA
"106",5,10,20,NA,NA,NA,NA
"107",10,10,20,NA,NA,NA,NA
"108",20,10,20,NA,NA,NA,NA
"109",40,10,20,NA,NA,NA,NA
"110",80,10,20,NA,NA,NA,NA
"111",100,10,20,NA,NA,NA,NA
"112",200,10,20,NA,NA,NA,NA
"113",5,20,20,NA,NA,NA,NA
"114",10,20,20,NA,NA,NA,NA
"115",20,20,20,NA,NA,NA,NA
"116",40,20,20,NA,NA,NA,NA
"117",80,20,20,NA,NA,NA,NA
"118",100,20,20,NA,NA,NA,NA
"119",200,20,20,NA,NA,NA,NA
"120",5,40,20,NA,NA,NA,NA
"121",10,40,20,NA,NA,NA,NA
"122",20,40,20,NA,NA,NA,NA
"123",40,40,20,NA,NA,NA,NA
"124",80,40,20,NA,NA,NA,NA
"125",100,40,20,NA,NA,NA,NA
"126",200,40,20,NA,NA,NA,NA
"127",5,80,20,NA,NA,NA,NA
"128",10,80,20,NA,NA,NA,NA
"129",20,80,20,NA,NA,NA,NA
"130",40,80,20,NA,NA,NA,NA
"131",80,80,20,NA,NA,NA,NA
"132",100,80,20,NA,NA,NA,NA
"133",200,80,20,NA,NA,NA,NA
"134",5,100,20,NA,NA,NA,NA
"135",10,100,20,NA,NA,NA,NA
"136",20,100,20,NA,NA,NA,NA
"137",40,100,20,NA,NA,NA,NA
"138",80,100,20,NA,NA,NA,NA
"139",100,100,20,NA,NA,NA,NA
"140",200,100,20,NA,NA,NA,NA
"141",5,200,20,NA,NA,NA,NA
"142",10,200,20,NA,NA,NA,NA
"143",20,200,20,NA,NA,NA,NA
"144",40,200,20,NA,NA,NA,NA
"145",80,200,20,NA,NA,NA,NA
"146",100,200,20,NA,NA,NA,NA
"147",200,200,20,NA,NA,NA,NA
"148",5,5,40,NA,NA,NA,NA
"149",10,5,40,NA,NA,NA,NA
"150",20,5,40,NA,NA,NA,NA
"151",40,5,40,NA,NA,NA,NA
"152",80,5,40,NA,NA,NA,NA
"153",100,5,40,NA,NA,NA,NA
"154",200,5,40,NA,NA,NA,NA
"155",5,10,40,NA,NA,NA,NA
"156",10,10,40,NA,NA,NA,NA
"157",20,10,40,NA,NA,NA,NA
"158",40,10,40,NA,NA,NA,NA
"159",80,10,40,NA,NA,NA,NA
"160",100,10,40,NA,NA,NA,NA
"161",200,10,40,NA,NA,NA,NA
"162",5,20,40,NA,NA,NA,NA
"163",10,20,40,NA,NA,NA,NA
"164",20,20,40,NA,NA,NA,NA
"165",40,20,40,NA,NA,NA,NA
"166",80,20,40,NA,NA,NA,NA
"167",100,20,40,NA,NA,NA,NA
"168",200,20,40,NA,NA,NA,NA
"169",5,40,40,NA,NA,NA,NA
"170",10,40,40,NA,NA,NA,NA
"171",20,40,40,NA,NA,NA,NA
"172",40,40,40,NA,NA,NA,NA
"173",80,40,40,NA,NA,NA,NA
"174",100,40,40,NA,NA,NA,NA
"175",200,40,40,NA,NA,NA,NA
"176",5,80,40,NA,NA,NA,NA
"177",10,80,40,NA,NA,NA,NA
"178",20,80,40,NA,NA,NA,NA
"179",40,80,40,NA,NA,NA,NA
"180",80,80,40,NA,NA,NA,NA
"181",100,80,40,NA,NA,NA,NA
"182",200,80,40,NA,NA,NA,NA
"183",5,100,40,NA,NA,NA,NA
"184",10,100,40,NA,NA,NA,NA
"185",20,100,40,NA,NA,NA,NA
"186",40,100,40,NA,NA,NA,NA
"187",80,100,40,NA,NA,NA,NA
"188",100,100,40,NA,NA,NA,NA
"189",200,100,40,NA,NA,NA,NA
"190",5,200,40,NA,NA,NA,NA
"191",10,200,40,NA,NA,NA,NA
"192",20,200,40,NA,NA,NA,NA
"193",40,200,40,NA,NA,NA,NA
"194",80,200,40,NA,NA,NA,NA
"195",100,200,40,NA,NA,NA,NA
"196",200,200,40,NA,NA,NA,NA
"197",5,5,80,NA,NA,NA,NA
"198",10,5,80,NA,NA,NA,NA
"199",20,5,80,NA,NA,NA,NA
"200",40,5,80,NA,NA,NA,NA
"201",80,5,80,NA,NA,NA,NA
"202",100,5,80,NA,NA,NA,NA
"203",200,5,80,NA,NA,NA,NA
"204",5,10,80,NA,NA,NA,NA
"205",10,10,80,NA,NA,NA,NA
"206",20,10,80,NA,NA,NA,NA
"207",40,10,80,NA,NA,NA,NA
"208",80,10,80,NA,NA,NA,NA
"209",100,10,80,NA,NA,NA,NA
"210",200,10,80,NA,NA,NA,NA
"211",5,20,80,NA,NA,NA,NA
"212",10,20,80,NA,NA,NA,NA
"213",20,20,80,NA,NA,NA,NA
"214",40,20,80,NA,NA,NA,NA
"215",80,20,80,NA,NA,NA,NA
"216",100,20,80,NA,NA,NA,NA
"217",200,20,80,NA,NA,NA,NA
"218",5,40,80,NA,NA,NA,NA
"219",10,40,80,NA,NA,NA,NA
"220",20,40,80,NA,NA,NA,NA
"221",40,40,80,NA,NA,NA,NA
"222",80,40,80,NA,NA,NA,NA
"223",100,40,80,NA,NA,NA,NA
"224",200,40,80,NA,NA,NA,NA
"225",5,80,80,NA,NA,NA,NA
"226",10,80,80,NA,NA,NA,NA
"227",20,80,80,NA,NA,NA,NA
"228",40,80,80,NA,NA,NA,NA
"229",80,80,80,NA,NA,NA,NA
"230",100,80,80,NA,NA,NA,NA
"231",200,80,80,NA,NA,NA,NA
"232",5,100,80,NA,NA,NA,NA
"233",10,100,80,NA,NA,NA,NA
"234",20,100,80,NA,NA,NA,NA
"235",40,100,80,NA,NA,NA,NA
"236",80,100,80,NA,NA,NA,NA
"237",100,100,80,NA,NA,NA,NA
"238",200,100,80,NA,NA,NA,NA
"239",5,200,80,NA,NA,NA,NA
"240",10,200,80,NA,NA,NA,NA
"241",20,200,80,NA,NA,NA,NA
"242",40,200,80,NA,NA,NA,NA
"243",80,200,80,NA,NA,NA,NA
"244",100,200,80,NA,NA,NA,NA
"245",200,200,80,NA,NA,NA,NA
"246",5,5,100,NA,NA,NA,NA
"247",10,5,100,NA,NA,NA,NA
"248",20,5,100,NA,NA,NA,NA
"249",40,5,100,NA,NA,NA,NA
"250",80,5,100,NA,NA,NA,NA
"251",100,5,100,NA,NA,NA,NA
"252",200,5,100,NA,NA,NA,NA
"253",5,10,100,NA,NA,NA,NA
"254",10,10,100,NA,NA,NA,NA
"255",20,10,100,NA,NA,NA,NA
"256",40,10,100,NA,NA,NA,NA
"257",80,10,100,NA,NA,NA,NA
"258",100,10,100,NA,NA,NA,NA
"259",200,10,100,NA,NA,NA,NA
"260",5,20,100,NA,NA,NA,NA
"261",10,20,100,NA,NA,NA,NA
"262",20,20,100,NA,NA,NA,NA
"263",40,20,100,NA,NA,NA,NA
"264",80,20,100,NA,NA,NA,NA
"265",100,20,100,NA,NA,NA,NA
"266",200,20,100,NA,NA,NA,NA
"267",5,40,100,NA,NA,NA,NA
"268",10,40,100,NA,NA,NA,NA
"269",20,40,100,NA,NA,NA,NA
"270",40,40,100,NA,NA,NA,NA
"271",80,40,100,NA,NA,NA,NA
"272",100,40,100,NA,NA,NA,NA
"273",200,40,100,NA,NA,NA,NA
"274",5,80,100,NA,NA,NA,NA
"275",10,80,100,NA,NA,NA,NA
"276",20,80,100,NA,NA,NA,NA
"277",40,80,100,NA,NA,NA,NA
"278",80,80,100,NA,NA,NA,NA
"279",100,80,100,NA,NA,NA,NA
"280",200,80,100,NA,NA,NA,NA
"281",5,100,100,NA,NA,NA,NA
"282",10,100,100,NA,NA,NA,NA
"283",20,100,100,NA,NA,NA,NA
