"","Hidden1","Hidden2","Hidden3","MSE_10ep","MSE_100ep","MSE_1000ep","MSE_10000ep"
"125",100,40,20,0.839560896756934,0.744394506602398,0.925140587557213,1.06917697227634
"126",200,40,20,1.38137159948694,0.975639400335926,0.944525787925415,0.430679847118397
"127",5,80,20,0.833211025646671,0.82152915622442,0.835817722912291,0.921751635914925
"128",10,80,20,0.829243250478976,0.770303884786105,1.01432125132179,0.920074585048028
"129",20,80,20,0.820898302929131,0.847330747476168,1.15140145889661,0.299140546706863
"130",40,80,20,0.829642513742401,0.699389997447501,0.815399182459141,0.892968249243555
"131",80,80,20,1.19625831897095,0.93449502320033,0.357655566066647,0.875199500857548
"132",100,80,20,0.997391322027494,0.719746041156111,0.912443566589354,0.981261408622365
"133",200,80,20,0.861528389501912,0.740485539054064,0.374347714757329,0.859203794146833
"134",5,100,20,0.823490524292038,0.834442940168552,0.827692675046968,0.834003878731613
"135",10,100,20,0.84595137318377,0.879425689689983,1.08645061847243,0.901014328323409
"136",20,100,20,0.827933782139697,0.73145925363636,0.83680615458922,0.854552104174771
"137",40,100,20,0.884312106338692,0.959560216060846,0.920804036535844,0.854621507809831
"138",80,100,20,1.13383025444151,0.684283278512354,0.912047545950539,0.972882129945459
"139",100,100,20,0.93723871578027,0.903057512501426,0.429063527353227,0.436944930947602
"140",200,100,20,0.871581782895104,0.760635330356084,0.575828786342403,0.85341170804275
"141",5,200,20,0.845298414585895,0.837424799770627,0.837036570851572,0.892784944521073
"142",10,200,20,0.965582114257568,0.912420545294819,0.885993998921054,0.893673463590377
"143",20,200,20,0.902073543913492,0.834422593081314,0.966639155533353,0.997894796001339
"144",40,200,20,1.00780690582198,0.882255740284405,0.30601004935195,0.904402283305418
"145",80,200,20,1.30440684817396,0.909530744646777,0.358456103540295,0.387108384933891
"146",100,200,20,1.63542918122859,0.695098767323442,0.84660729688265,1.04054014018026
"147",200,200,20,0.817659601958998,0.727163903344077,0.400609377436004,0.537268500224642
"148",5,5,40,0.846665925000675,0.818990511757134,0.846005953584127,0.905105007915907
"149",10,5,40,0.835066452121927,0.805609218211522,0.858853845416238,0.943308352133735
"150",20,5,40,0.808030265245209,0.770840952559121,0.493615325792848,0.824190640596226
"151",40,5,40,0.79312403150503,0.804799308559864,0.555352225054632,0.848650953451438
"152",80,5,40,0.829536609576845,0.855729439409464,0.98234311834911,0.840427016640198
"153",100,5,40,0.801964999752767,0.882641347182498,0.968314122252631,0.85697835757119
"154",200,5,40,0.815992332596771,0.804925736919674,0.670691448416641,1.00406141079626
"155",5,10,40,0.830242137096754,0.848373571149467,0.855949388357076,0.833650470364696
"156",10,10,40,0.814378493632535,0.753866275887804,0.8369822759198,0.919304192868817
"157",20,10,40,0.806065946505625,0.768455979247227,0.845953775998085,0.82684852286069
"158",40,10,40,0.804802423688702,0.737743279235246,0.914507120264012,0.275889532582506
"159",80,10,40,0.831092470763152,0.807842798675043,0.918448229343329,0.931376080328397
"160",100,10,40,0.817094913077971,0.87395917644799,0.941823085166095,0.884146816944165
"161",200,10,40,NA,NA,NA,NA
"162",5,20,40,NA,NA,NA,NA
"163",10,20,40,NA,NA,NA,NA
"164",20,20,40,NA,NA,NA,NA
"165",40,20,40,NA,NA,NA,NA
"166",80,20,40,NA,NA,NA,NA
"167",100,20,40,NA,NA,NA,NA
"168",200,20,40,NA,NA,NA,NA
"169",5,40,40,NA,NA,NA,NA
"170",10,40,40,NA,NA,NA,NA
"171",20,40,40,NA,NA,NA,NA
"172",40,40,40,NA,NA,NA,NA
"173",80,40,40,NA,NA,NA,NA
"174",100,40,40,NA,NA,NA,NA
"175",200,40,40,NA,NA,NA,NA
"176",5,80,40,NA,NA,NA,NA
"177",10,80,40,NA,NA,NA,NA
"178",20,80,40,NA,NA,NA,NA
"179",40,80,40,NA,NA,NA,NA
"180",80,80,40,NA,NA,NA,NA
"181",100,80,40,NA,NA,NA,NA
"182",200,80,40,NA,NA,NA,NA
"183",5,100,40,NA,NA,NA,NA
"184",10,100,40,NA,NA,NA,NA
"185",20,100,40,NA,NA,NA,NA
"186",40,100,40,NA,NA,NA,NA
"187",80,100,40,NA,NA,NA,NA
"188",100,100,40,NA,NA,NA,NA
"189",200,100,40,NA,NA,NA,NA
"190",5,200,40,NA,NA,NA,NA
"191",10,200,40,NA,NA,NA,NA
"192",20,200,40,NA,NA,NA,NA
"193",40,200,40,NA,NA,NA,NA
"194",80,200,40,NA,NA,NA,NA
"195",100,200,40,NA,NA,NA,NA
"196",200,200,40,NA,NA,NA,NA
"197",5,5,80,NA,NA,NA,NA
"198",10,5,80,NA,NA,NA,NA
"199",20,5,80,NA,NA,NA,NA
"200",40,5,80,NA,NA,NA,NA
"201",80,5,80,NA,NA,NA,NA
"202",100,5,80,NA,NA,NA,NA
"203",200,5,80,NA,NA,NA,NA
"204",5,10,80,NA,NA,NA,NA
"205",10,10,80,NA,NA,NA,NA
"206",20,10,80,NA,NA,NA,NA
"207",40,10,80,NA,NA,NA,NA
"208",80,10,80,NA,NA,NA,NA
"209",100,10,80,NA,NA,NA,NA
"210",200,10,80,NA,NA,NA,NA
"211",5,20,80,NA,NA,NA,NA
"212",10,20,80,NA,NA,NA,NA
"213",20,20,80,NA,NA,NA,NA
"214",40,20,80,NA,NA,NA,NA
"215",80,20,80,NA,NA,NA,NA
"216",100,20,80,NA,NA,NA,NA
"217",200,20,80,NA,NA,NA,NA
